facility_name,facility_id,state,measure_name,number_of_discharges,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date,condition_name,risk_tier,deviation_from_national,penalty_flag,state_avg_ratio,hospital_rank_in_state,deviation_from_state_avg,estimated_penalty_cost
Yale-New Haven Hospital,70022,CT,READM-30-CABG-HRRP,155.0,1.0161,11.3433,11.1634,18.0,2021-07-01,2024-06-30,CABG,MEDIUM,0.0161,True,0.9901,4,0.026,1609.14
Yale-New Haven Hospital,70022,CT,READM-30-AMI-HRRP,525.0,0.9607,14.3005,14.8859,73.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0393,False,0.9932,12,-0.0325,0.0
William W Backus Hospital,70024,CT,READM-30-PN-HRRP,510.0,0.9075,14.9931,16.521,70.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0925,False,1.0198,25,-0.1123,0.0
William W Backus Hospital,70024,CT,READM-30-HIP-KNEE-HRRP,,0.9374,6.1169,6.5256,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0626,False,0.9566,7,-0.0192,0.0
William W Backus Hospital,70024,CT,READM-30-HF-HRRP,410.0,0.9777,19.1792,19.617,77.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0223,False,0.9965,18,-0.0188,0.0
William W Backus Hospital,70024,CT,READM-30-COPD-HRRP,237.0,1.0696,20.2241,18.9086,53.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0696,True,1.0007,3,0.0689,6956.3
Hartford Hospital,70025,CT,READM-30-PN-HRRP,665.0,1.0529,16.4711,15.6436,113.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0529,True,1.0198,8,0.0331,5287.19
Hartford Hospital,70025,CT,READM-30-HIP-KNEE-HRRP,314.0,1.0611,5.517,5.1994,18.0,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0611,True,0.9566,4,0.1045,6106.75
Hartford Hospital,70025,CT,READM-30-HF-HRRP,1305.0,1.1395,22.7813,19.9916,307.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.1395,True,0.9965,1,0.143,13942.58
Hartford Hospital,70025,CT,READM-30-COPD-HRRP,196.0,0.985,17.4039,17.6685,33.0,2021-07-01,2024-06-30,COPD,LOW,-0.015,False,1.0007,16,-0.0157,0.0
Hartford Hospital,70025,CT,READM-30-CABG-HRRP,214.0,0.9402,11.0342,11.7362,22.0,2021-07-01,2024-06-30,CABG,LOW,-0.0598,False,0.9901,7,-0.0499,0.0
Hartford Hospital,70025,CT,READM-30-AMI-HRRP,688.0,1.0347,14.2814,13.8029,100.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0347,True,0.9932,2,0.0415,3468.16
Manchester Memorial Hospital,70027,CT,READM-30-PN-HRRP,300.0,0.9374,14.076,15.0157,38.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0626,False,1.0198,23,-0.0824,0.0
Manchester Memorial Hospital,70027,CT,READM-30-HIP-KNEE-HRRP,,0.9492,5.7857,6.0957,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0508,False,0.9566,6,-0.0074,0.0
Manchester Memorial Hospital,70027,CT,READM-30-HF-HRRP,179.0,1.0255,19.1014,18.6262,36.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0255,True,0.9965,4,0.029,2548.64
Manchester Memorial Hospital,70027,CT,READM-30-COPD-HRRP,,0.9874,18.4117,18.6463,,2021-07-01,2024-06-30,COPD,LOW,-0.0126,False,1.0007,15,-0.0133,0.0
St Vincent'S Medical Center,70028,CT,READM-30-PN-HRRP,347.0,1.0567,15.9498,15.0937,59.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0567,True,1.0198,7,0.0369,5666.99
St Vincent'S Medical Center,70028,CT,READM-30-HIP-KNEE-HRRP,,0.9213,5.5508,6.0247,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0787,False,0.9566,8,-0.0353,0.0
St Vincent'S Medical Center,70028,CT,READM-30-HF-HRRP,390.0,0.9293,18.0154,19.3867,65.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0707,False,0.9965,22,-0.0672,0.0
St Vincent'S Medical Center,70028,CT,READM-30-COPD-HRRP,,0.9362,15.7335,16.8052,,2021-07-01,2024-06-30,COPD,LOW,-0.0638,False,1.0007,21,-0.0645,0.0
St Vincent'S Medical Center,70028,CT,READM-30-CABG-HRRP,,1.0638,11.6596,10.9599,,2021-07-01,2024-06-30,CABG,MEDIUM,0.0638,True,0.9901,1,0.0737,6376.61
St Vincent'S Medical Center,70028,CT,READM-30-AMI-HRRP,167.0,1.0064,13.5761,13.4895,23.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0064,True,0.9932,5,0.0132,639.66
Bristol Hospital,70029,CT,READM-30-PN-HRRP,196.0,1.0439,16.3891,15.7006,35.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0439,True,1.0198,10,0.0241,4387.67
Bristol Hospital,70029,CT,READM-30-HF-HRRP,155.0,1.0135,18.7371,18.4876,30.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0135,True,0.9965,6,0.017,1349.28
Bristol Hospital,70029,CT,READM-30-COPD-HRRP,87.0,1.1207,19.0677,17.0148,25.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.1207,True,1.0007,1,0.12,12063.58
Griffin Hospital,70031,CT,READM-30-PN-HRRP,146.0,0.9751,13.4476,13.7911,18.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0249,False,1.0198,20,-0.0447,0.0
Griffin Hospital,70031,CT,READM-30-HIP-KNEE-HRRP,,0.8626,3.8727,4.4894,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.1374,False,0.9566,11,-0.094,0.0
Griffin Hospital,70031,CT,READM-30-HF-HRRP,198.0,0.9234,17.5111,18.9627,29.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0766,False,0.9965,23,-0.0731,0.0
Griffin Hospital,70031,CT,READM-30-COPD-HRRP,,0.9121,14.9067,16.3432,,2021-07-01,2024-06-30,COPD,LOW,-0.0879,False,1.0007,24,-0.0886,0.0
Danbury Hospital,70033,CT,READM-30-PN-HRRP,963.0,1.0652,16.5898,15.5739,164.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0652,True,1.0198,5,0.0454,6516.53
Danbury Hospital,70033,CT,READM-30-HIP-KNEE-HRRP,368.0,0.7647,3.814,4.9877,11.0,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.2353,False,0.9566,13,-0.1919,0.0
Danbury Hospital,70033,CT,READM-30-HF-HRRP,930.0,0.9848,18.9355,19.2268,175.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0152,False,0.9965,17,-0.0117,0.0
Danbury Hospital,70033,CT,READM-30-COPD-HRRP,263.0,0.9617,17.0575,17.7361,42.0,2021-07-01,2024-06-30,COPD,LOW,-0.0383,False,1.0007,20,-0.039,0.0
Danbury Hospital,70033,CT,READM-30-CABG-HRRP,,0.9461,10.1842,10.7645,,2021-07-01,2024-06-30,CABG,LOW,-0.0539,False,0.9901,6,-0.044,0.0
Danbury Hospital,70033,CT,READM-30-AMI-HRRP,288.0,0.9943,12.6009,12.6732,36.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0057,False,0.9932,6,0.0011,0.0
Norwalk Hospital,70034,CT,READM-30-PN-HRRP,532.0,0.9752,15.1652,15.5516,79.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0248,False,1.0198,19,-0.0446,0.0
Norwalk Hospital,70034,CT,READM-30-HF-HRRP,441.0,1.1177,22.1688,19.8347,106.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.1177,True,0.9965,2,0.1212,11763.74
Norwalk Hospital,70034,CT,READM-30-COPD-HRRP,82.0,1.0274,18.293,17.8058,17.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0274,True,1.0007,8,0.0267,2738.54
Norwalk Hospital,70034,CT,READM-30-AMI-HRRP,,0.9884,13.2138,13.3682,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0116,False,0.9932,8,-0.0048,0.0
The Hospital Of Central Connecticut,70035,CT,READM-30-AMI-HRRP,,1.0246,16.7749,16.3722,,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0246,True,0.9932,3,0.0314,2458.69
The Hospital Of Central Connecticut,70035,CT,READM-30-PN-HRRP,424.0,1.0161,16.2567,15.999,70.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0161,True,1.0198,12,-0.0037,1609.14
The Hospital Of Central Connecticut,70035,CT,READM-30-HF-HRRP,477.0,0.9932,20.021,20.158,95.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0068,False,0.9965,15,-0.0033,0.0
The Hospital Of Central Connecticut,70035,CT,READM-30-COPD-HRRP,129.0,1.0081,18.9164,18.7643,25.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0081,True,1.0007,12,0.0074,809.57
John Dempsey Hospital Of The University Of Connect,70036,CT,READM-30-PN-HRRP,362.0,0.9766,13.9624,14.2965,49.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0234,False,1.0198,18,-0.0432,0.0
John Dempsey Hospital Of The University Of Connect,70036,CT,READM-30-HF-HRRP,342.0,1.0073,17.9784,17.8489,62.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0073,True,0.9965,11,0.0108,729.61
John Dempsey Hospital Of The University Of Connect,70036,CT,READM-30-COPD-HRRP,98.0,1.0308,18.1392,17.5968,20.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0308,True,1.0007,7,0.0301,3078.36
John Dempsey Hospital Of The University Of Connect,70036,CT,READM-30-AMI-HRRP,,0.9859,13.1634,13.3515,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0141,False,0.9932,10,-0.0073,0.0
Christiana Hospital,80001,DE,READM-30-PN-HRRP,1942.0,0.8485,12.8586,15.1546,239.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.1515,False,0.9451,6,-0.0966,0.0
Christiana Hospital,80001,DE,READM-30-HIP-KNEE-HRRP,,0.8641,5.6405,6.5275,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.1359,False,1.0263,4,-0.1622,0.0
Christiana Hospital,80001,DE,READM-30-HF-HRRP,2593.0,0.9781,18.1866,18.5945,470.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0219,False,0.9558,2,0.0223,0.0
Christiana Hospital,80001,DE,READM-30-COPD-HRRP,746.0,0.9872,18.2251,18.4611,135.0,2021-07-01,2024-06-30,COPD,LOW,-0.0128,False,0.9797,2,0.0075,0.0
Christiana Hospital,80001,DE,READM-30-CABG-HRRP,355.0,0.795,8.1119,10.2034,23.0,2021-07-01,2024-06-30,CABG,LOW,-0.205,False,0.9563,3,-0.1613,0.0
Christiana Hospital,80001,DE,READM-30-AMI-HRRP,589.0,1.0003,12.5613,12.5578,74.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0003,True,1.0138,3,-0.0135,29.98
St Francis Hospital,80003,DE,READM-30-PN-HRRP,,0.9332,14.9378,16.0068,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0668,False,0.9451,4,-0.0119,0.0
St Francis Hospital,80003,DE,READM-30-HF-HRRP,148.0,0.9525,17.8843,18.7767,23.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0475,False,0.9558,4,-0.0033,0.0
St Francis Hospital,80003,DE,READM-30-COPD-HRRP,,0.9661,22.4947,23.283,,2021-07-01,2024-06-30,COPD,LOW,-0.0339,False,0.9797,5,-0.0136,0.0
St Francis Hospital,80003,DE,READM-30-AMI-HRRP,,1.0126,11.3057,11.1648,,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0126,True,1.0138,2,-0.0012,1259.33
"Bayhealth Medical Center, Kent Campus",80004,DE,READM-30-PN-HRRP,858.0,1.0488,16.7575,15.9773,147.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0488,True,0.9451,1,0.1037,4877.41
"Bayhealth Medical Center, Kent Campus",80004,DE,READM-30-HIP-KNEE-HRRP,,1.0982,5.6344,5.1305,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0982,True,1.0263,2,0.0719,9814.78
"Bayhealth Medical Center, Kent Campus",80004,DE,READM-30-HF-HRRP,647.0,0.9788,19.0949,19.5083,122.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0212,False,0.9558,1,0.023,0.0
"Bayhealth Medical Center, Kent Campus",80004,DE,READM-30-COPD-HRRP,263.0,1.0013,17.8345,17.8113,47.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0013,True,0.9797,1,0.0216,129.93
"Bayhealth Medical Center, Kent Campus",80004,DE,READM-30-CABG-HRRP,,1.0228,12.0075,11.7396,,2021-07-01,2024-06-30,CABG,MEDIUM,0.0228,True,0.9563,2,0.0665,2278.79
"Bayhealth Medical Center, Kent Campus",80004,DE,READM-30-AMI-HRRP,280.0,1.1318,13.8239,12.214,45.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.1318,True,1.0138,1,0.118,13172.99
"Tidalhealth Nanticoke, Inc.",80006,DE,READM-30-PN-HRRP,353.0,0.8663,14.0061,16.1686,40.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.1337,False,0.9451,5,-0.0788,0.0
"Tidalhealth Nanticoke, Inc.",80006,DE,READM-30-HF-HRRP,254.0,0.9665,19.0781,19.7399,46.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0335,False,0.9558,3,0.0107,0.0
"Tidalhealth Nanticoke, Inc.",80006,DE,READM-30-COPD-HRRP,158.0,0.9755,17.6128,18.0558,26.0,2021-07-01,2024-06-30,COPD,LOW,-0.0245,False,0.9797,4,-0.0042,0.0
"Tidalhealth Nanticoke, Inc.",80006,DE,READM-30-AMI-HRRP,99.0,0.9625,14.1171,14.6675,12.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0375,False,1.0138,6,-0.0513,0.0
Beebe Medical Center,80007,DE,READM-30-PN-HRRP,779.0,0.9984,14.391,14.4144,112.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0016,False,0.9451,2,0.0533,0.0
Beebe Medical Center,80007,DE,READM-30-HIP-KNEE-HRRP,,1.2071,7.2892,6.0384,,2021-07-01,2024-06-30,Hip/Knee Replacement,HIGH,0.2071,True,1.0263,1,0.1808,20698.99
Beebe Medical Center,80007,DE,READM-30-HF-HRRP,826.0,0.9079,16.5621,18.2419,130.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0921,False,0.9558,6,-0.0479,0.0
Beebe Medical Center,80007,DE,READM-30-COPD-HRRP,267.0,0.9624,15.2542,15.8502,38.0,2021-07-01,2024-06-30,COPD,LOW,-0.0376,False,0.9797,6,-0.0173,0.0
Beebe Medical Center,80007,DE,READM-30-CABG-HRRP,110.0,1.051,9.7654,9.2917,12.0,2021-07-01,2024-06-30,CABG,MEDIUM,0.051,True,0.9563,1,0.0947,5097.29
Beebe Medical Center,80007,DE,READM-30-AMI-HRRP,283.0,0.9997,10.959,10.9622,31.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0003,False,1.0138,4,-0.0141,0.0
"Bayhealth Hospital, Sussex Campus",80009,DE,READM-30-PN-HRRP,413.0,0.9753,14.9287,15.3068,60.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0247,False,0.9451,3,0.0302,0.0
"Bayhealth Hospital, Sussex Campus",80009,DE,READM-30-HIP-KNEE-HRRP,,0.9357,5.7202,6.113,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0643,False,1.0263,3,-0.0906,0.0
"Bayhealth Hospital, Sussex Campus",80009,DE,READM-30-HF-HRRP,357.0,0.9507,17.8157,18.74,60.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0493,False,0.9558,5,-0.0051,0.0
"Bayhealth Hospital, Sussex Campus",80009,DE,READM-30-COPD-HRRP,156.0,0.9859,17.3355,17.5842,26.0,2021-07-01,2024-06-30,COPD,LOW,-0.0141,False,0.9797,3,0.0062,0.0
"Bayhealth Hospital, Sussex Campus",80009,DE,READM-30-AMI-HRRP,,0.9757,11.9163,12.2129,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0243,False,1.0138,5,-0.0381,0.0
George Washington Univ Hospital,90001,DC,READM-30-PN-HRRP,170.0,0.9985,16.5311,16.556,28.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0015,False,0.9851,2,0.0134,0.0
George Washington Univ Hospital,90001,DC,READM-30-HIP-KNEE-HRRP,,0.9646,3.9413,4.0861,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0354,False,1.0269,4,-0.0623,0.0
George Washington Univ Hospital,90001,DC,READM-30-HF-HRRP,373.0,0.9608,19.8219,20.6311,71.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0392,False,0.9871,4,-0.0263,0.0
George Washington Univ Hospital,90001,DC,READM-30-COPD-HRRP,88.0,0.9654,20.1359,20.857,15.0,2021-07-01,2024-06-30,COPD,LOW,-0.0346,False,0.9981,5,-0.0327,0.0
George Washington Univ Hospital,90001,DC,READM-30-CABG-HRRP,,1.0129,11.9282,11.7762,,2021-07-01,2024-06-30,CABG,MEDIUM,0.0129,True,0.9544,1,0.0585,1289.31
George Washington Univ Hospital,90001,DC,READM-30-AMI-HRRP,134.0,0.9758,13.6172,13.9555,17.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0242,False,0.985,3,-0.0092,0.0
Howard University Hospital Corp,90003,DC,READM-30-PN-HRRP,116.0,1.0599,18.1113,17.0883,25.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0599,True,0.9851,1,0.0748,5986.82
Howard University Hospital Corp,90003,DC,READM-30-HF-HRRP,152.0,1.1552,26.185,22.6662,51.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.1552,True,0.9871,1,0.1681,15511.75
Howard University Hospital Corp,90003,DC,READM-30-COPD-HRRP,64.0,1.0592,22.6226,21.3582,19.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0592,True,0.9981,1,0.0611,5916.85
Howard University Hospital Corp,90003,DC,READM-30-AMI-HRRP,,0.958,17.878,18.6611,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.042,False,0.985,4,-0.027,0.0
Medstar Georgetown University Hospital,90004,DC,READM-30-PN-HRRP,204.0,0.9349,15.4577,16.5343,27.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0651,False,0.9851,5,-0.0502,0.0
Medstar Georgetown University Hospital,90004,DC,READM-30-HIP-KNEE-HRRP,,1.0262,6.0601,5.9051,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0262,True,1.0269,3,-0.0007,2618.61
Medstar Georgetown University Hospital,90004,DC,READM-30-HF-HRRP,185.0,0.9675,20.7777,21.4753,36.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0325,False,0.9871,3,-0.0196,0.0
Medstar Georgetown University Hospital,90004,DC,READM-30-COPD-HRRP,,0.9766,19.9955,20.4741,,2021-07-01,2024-06-30,COPD,LOW,-0.0234,False,0.9981,4,-0.0215,0.0
Sibley Memorial Hospital,90005,DC,READM-30-PN-HRRP,453.0,0.9345,12.8869,13.7895,54.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0655,False,0.9851,6,-0.0506,0.0
Sibley Memorial Hospital,90005,DC,READM-30-HIP-KNEE-HRRP,,1.0536,5.2977,5.0281,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0536,True,1.0269,2,0.0267,5357.15
Sibley Memorial Hospital,90005,DC,READM-30-HF-HRRP,342.0,0.9455,16.6481,17.6076,53.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0545,False,0.9871,5,-0.0416,0.0
Sibley Memorial Hospital,90005,DC,READM-30-COPD-HRRP,,0.9811,17.2774,17.6103,,2021-07-01,2024-06-30,COPD,LOW,-0.0189,False,0.9981,3,-0.017,0.0
Sibley Memorial Hospital,90005,DC,READM-30-AMI-HRRP,,0.9856,14.3755,14.5861,,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0144,False,0.985,2,0.0006,0.0
United Medical Center,90008,DC,READM-30-PN-HRRP,,0.9845,19.8416,20.1538,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0155,False,0.9851,4,-0.0006,0.0
United Medical Center,90008,DC,READM-30-HF-HRRP,128.0,0.9767,21.693,22.2096,26.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0233,False,0.9871,2,-0.0104,0.0
United Medical Center,90008,DC,READM-30-COPD-HRRP,,0.9811,18.7756,19.1368,,2021-07-01,2024-06-30,COPD,LOW,-0.0189,False,0.9981,3,-0.017,0.0
Medstar Washington Hospital Center,90011,DC,READM-30-PN-HRRP,366.0,0.9981,17.5224,17.5563,64.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0019,False,0.9851,3,0.013,0.0
Medstar Washington Hospital Center,90011,DC,READM-30-HIP-KNEE-HRRP,,1.0632,5.9908,5.6345,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0632,True,1.0269,1,0.0363,6316.64
Medstar Washington Hospital Center,90011,DC,READM-30-HF-HRRP,1166.0,0.9169,19.2391,20.982,218.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0831,False,0.9871,6,-0.0702,0.0
Medstar Washington Hospital Center,90011,DC,READM-30-COPD-HRRP,156.0,1.0253,21.8258,21.2873,36.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0253,True,0.9981,2,0.0272,2528.65
Medstar Washington Hospital Center,90011,DC,READM-30-CABG-HRRP,484.0,0.8958,10.5143,11.7378,48.0,2021-07-01,2024-06-30,CABG,LOW,-0.1042,False,0.9544,2,-0.0586,0.0
Medstar Washington Hospital Center,90011,DC,READM-30-AMI-HRRP,711.0,1.0208,15.1803,14.8712,109.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0208,True,0.985,1,0.0358,2078.89
Shands Jacksonville,100001,FL,READM-30-PN-HRRP,258.0,0.9604,17.3508,18.0659,42.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0396,False,1.0143,123,-0.0539,0.0
Shands Jacksonville,100001,FL,READM-30-HF-HRRP,490.0,0.9639,20.1422,20.8957,96.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0361,False,1.028,131,-0.0641,0.0
Shands Jacksonville,100001,FL,READM-30-COPD-HRRP,128.0,1.0326,21.4943,20.8156,30.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0326,True,1.0091,42,0.0235,3258.27
Shands Jacksonville,100001,FL,READM-30-CABG-HRRP,,1.0292,10.79,10.4835,,2021-07-01,2024-06-30,CABG,MEDIUM,0.0292,True,1.0201,31,0.0091,2918.45
Shands Jacksonville,100001,FL,READM-30-AMI-HRRP,137.0,1.0292,14.974,14.5486,22.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0292,True,1.0251,57,0.0041,2918.45
Bethesda Hospital East,100002,FL,READM-30-PN-HRRP,883.0,0.9908,15.6984,15.8437,138.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0092,False,1.0143,95,-0.0235,0.0
Bethesda Hospital East,100002,FL,READM-30-HIP-KNEE-HRRP,,1.1819,9.4005,7.954,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.1819,True,1.0491,22,0.1328,18180.33
Bethesda Hospital East,100002,FL,READM-30-HF-HRRP,620.0,1.0275,20.8083,20.2511,131.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0275,True,1.028,74,-0.0005,2748.54
Bethesda Hospital East,100002,FL,READM-30-COPD-HRRP,234.0,1.0143,18.3559,18.0964,44.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0143,True,1.0091,63,0.0052,1429.24
Bethesda Hospital East,100002,FL,READM-30-CABG-HRRP,,0.9516,11.2777,11.8507,,2021-07-01,2024-06-30,CABG,LOW,-0.0484,False,1.0201,48,-0.0685,0.0
Bethesda Hospital East,100002,FL,READM-30-AMI-HRRP,279.0,1.0758,14.4289,13.4123,44.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0758,True,1.0251,27,0.0507,7575.97
Orlando Health,100006,FL,READM-30-PN-HRRP,852.0,0.993,16.4879,16.6039,140.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.007,False,1.0143,92,-0.0213,0.0
Orlando Health,100006,FL,READM-30-HIP-KNEE-HRRP,1120.0,0.9538,5.1378,5.3868,57.0,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0462,False,1.0491,69,-0.0953,0.0
Orlando Health,100006,FL,READM-30-HF-HRRP,1336.0,1.1027,21.9887,19.9407,301.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.1027,True,1.028,21,0.0747,10264.54
Orlando Health,100006,FL,READM-30-COPD-HRRP,324.0,1.1154,21.2076,19.0133,77.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.1154,True,1.0091,7,0.1063,11533.86
Orlando Health,100006,FL,READM-30-CABG-HRRP,242.0,0.9232,9.9442,10.7713,22.0,2021-07-01,2024-06-30,CABG,LOW,-0.0768,False,1.0201,55,-0.0969,0.0
Orlando Health,100006,FL,READM-30-AMI-HRRP,494.0,0.9561,13.8271,14.462,66.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0439,False,1.0251,110,-0.069,0.0
Adventhealth Orlando,100007,FL,READM-30-PN-HRRP,3588.0,1.1409,19.3107,16.9259,702.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.1409,True,1.0143,12,0.1266,14082.51
Adventhealth Orlando,100007,FL,READM-30-HIP-KNEE-HRRP,365.0,1.081,5.7822,5.3489,22.0,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.081,True,1.0491,33,0.0319,8095.69
Adventhealth Orlando,100007,FL,READM-30-HF-HRRP,3487.0,1.1447,23.9972,20.9632,847.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.1447,True,1.028,5,0.1167,14462.31
Adventhealth Orlando,100007,FL,READM-30-COPD-HRRP,746.0,1.1015,20.074,18.2244,157.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.1015,True,1.0091,8,0.0924,10144.6
Adventhealth Orlando,100007,FL,READM-30-CABG-HRRP,402.0,1.2228,14.3318,11.7206,63.0,2021-07-01,2024-06-30,CABG,HIGH,0.2228,True,1.0201,3,0.2027,22268.16
Adventhealth Orlando,100007,FL,READM-30-AMI-HRRP,892.0,1.1646,16.7036,14.3428,157.0,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.1646,True,1.0251,3,0.1395,16451.25
Baptist Hospital Of Miami,100008,FL,READM-30-PN-HRRP,734.0,1.0856,18.3078,16.8648,140.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0856,True,1.0143,30,0.0713,8555.45
Baptist Hospital Of Miami,100008,FL,READM-30-HF-HRRP,613.0,1.0263,22.1948,21.6255,138.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0263,True,1.028,75,-0.0017,2628.6
Baptist Hospital Of Miami,100008,FL,READM-30-COPD-HRRP,141.0,0.9939,20.1918,20.3163,28.0,2021-07-01,2024-06-30,COPD,LOW,-0.0061,False,1.0091,93,-0.0152,0.0
